,date,capacity,turnover,open,high,low,close,change,transaction
347,2011/5/31,2296812,266744779,115,119,115,115.5,1,1087
348,2011/6/1,1578376,181174488,116,117,113.5,113.5,-2,1087
349,2011/6/2,1160842,133934830,112,116.5,112,115.5,2,760
350,2011/6/3,3207809,374318129,118,120.5,113.5,113.5,-2,1602
351,2011/6/7,819450,95049923,114.5,117,114,117,3.5,548
352,2011/6/8,1329241,151893733,116.5,117,113,113.5,-3.5,786
353,2011/6/9,2336480,271879640,115,118.5,115,118,4.5,1557
354,2011/6/10,3579008,422856923,119.5,120.5,114,115,-3,1903
355,2011/6/13,844328,97103554,115.5,116,114,114.5,-0.5,534
356,2011/6/14,1604382,187786576,115,119,114.5,117.5,3,1040
357,2011/6/15,1581310,187108733,117,120,116,118.5,1,1062
358,2011/6/16,899566,104076090,115.5,117,115,115,-3.5,517
359,2011/6/17,2317498,272426264,115.5,120,114,119,4,962
360,2011/6/20,782503,91270848,120,120,115,116,-3,495
361,2011/6/21,995551,114658865,117,117.5,114,115,-1,631
362,2011/6/22,3440509,377984990,115,116.5,107,107,-8,1863
363,2011/6/23,2136778,229182410,106,109,105,109,2,1486
364,2011/6/24,756821,80833026,109,109.5,106,106.5,-2.5,555
365,2011/6/27,446796,47292569,104,107,104,106.5,0,411
366,2011/6/28,431574,46168344,107,107.5,106,107,0.5,311
367,2011/6/29,770431,83134262,107,109,106,109,2,566
368,2011/6/30,408569,44393521,109,109.5,107.5,109,0,304
369,2011/7/1,465172,50854662,110,110,108.5,109,0,321
370,2011/7/4,1982986,204246564,109.5,110,101.5,101.5,-7.5,1057
371,2011/7/5,4656165,457517514,100,100.5,96.6,99.3,-2.2,2073
372,2011/7/6,2145427,216619566,98.5,103,98,103,3.7,1193
373,2011/7/7,1409561,146235905,103,105.5,101.5,105.5,2.5,847
374,2011/7/8,952999,98733394,105,106,102.5,103,-2.5,542
375,2011/7/11,400552,40554804,101.5,102.5,100.5,101.5,-1.5,282
376,2011/7/12,2847217,278417644,98.1,99,94.5,97.6,-3.9,1378
377,2011/7/13,1203212,117186805,96.2,97.9,96.1,97.5,-0.1,697
378,2011/7/14,2276487,213468149,97.5,98.5,91.3,93.6,-3.9,1052
379,2011/7/15,1780837,174878700,93.8,100,93.8,100,6.4,1095
380,2011/7/18,1267568,129576872,101.5,104,99.2,102,2,721
381,2011/7/19,1283481,133998005,102,105.5,100.5,105.5,3.5,740
382,2011/7/20,2002729,218292461,106,111.5,105,110,4.5,1016
383,2011/7/21,881887,96655957,112,112,106.5,111,1,469
384,2011/7/22,1253840,136991220,111,111,107,108.5,-2.5,693
385,2011/7/25,1382432,142707520,106.5,107,101,103,-5.5,704
386,2011/7/26,1865830,190535310,101.5,104,100,103,0,853
387,2011/7/27,3585060,355659080,103,103,97.2,100,-3,1587
388,2011/7/28,1584093,152773054,96.7,97.8,95,97.1,0,1094
389,2011/7/29,1185262,114489076,97.2,98.6,95.6,96.9,-0.2,831
390,2011/8/1,1032776,101273576,98,98.5,97.5,98.2,1.3,703
391,2011/8/2,837013,82053842,97,98.5,96.9,98,-0.2,480
392,2011/8/3,2291753,216484094,95,96.6,92.8,95.1,-2.9,1243
393,2011/8/4,2398663,234405372,97.5,98.6,96.8,97,1.9,1259
394,2011/8/5,2804777,259525915,90.3,94.7,90.3,92,-5,1569
395,2011/8/8,2818175,258120561,92.7,92.8,90,91.1,-0.9,1420
396,2011/8/9,2459587,212715457,86.7,90.9,84.8,87.8,-3.3,1360
397,2011/8/10,2351707,214635944,92,92.8,90,91.9,4.1,1326
398,2011/8/11,1804397,164239666,90,92.4,88.4,92.1,0.2,1387
399,2011/8/12,2857662,269638558,94.1,95.9,92.3,95,2.9,1452
400,2011/8/15,2388150,231063124,95.9,98.3,94.2,96,1,1220
401,2011/8/16,2037868,194761428,95.7,96.5,94.6,96.5,0.5,1061
402,2011/8/17,2683298,264663500,96.6,100.5,96.1,97.5,1,1644
403,2011/8/18,1783563,173346552,96.7,99.3,95.6,97.5,0,1012
404,2011/8/19,1454831,136931224,93.8,95.3,92.5,95,-2.5,786
